Smiles,He,H2,O2,N2,CO2,CH4
*CC(*)(C)C(=O)OCCO,1.728526695,1.91718968,0.558708571,-0.257307737,1.257255899,-0.132300243
*CC(*)(C)C(=O)OCCO,0.996804708,1.196099007,0.644438589,0.057649165,1.456056789,0.24821739
*CC(*)(C)C(=O)OCCO,1.18716138,1.313863225,0.691081492,-0.006699157,1.290575288,-0.017689942
*CC(*)(C)C(=O)OCCO,1.875061263,1.891293178,0.833784375,0.017703637,1.505149978,-0.349334675
*CC(*)(C)C(=O)OCCO,1.882609217,1.914217707,0.859738566,0.097988398,1.522042416,-0.23513733
*CC(*)C(=O)OCCCCCCCCCC,1.755874856,1.967079734,1.677606953,1.278753601,2.416640507,1.679427897
*CC(*)F,0.113943352,-0.568636236,-1.397940009,-2.045757491,-1.014547889,-2
*CC(*)Cl,0.166662886,-0.081608714,-1.343901798,-1.928117993,-0.804100348,-1.99793154
*CC(*)Cl,0.515175049,0.51851394,-0.853871964,-1.366531544,-0.155593843,-1.550908627
*CC(*)Cl,0.515175049,0.51851394,-0.853871964,-1.366531544,-0.155593843,-1.550908627
*CC(*)Cl,0.515175049,0.51851394,-0.853871964,-1.366531544,-0.155593843,-1.550908627
*CC(*)Cl,0.515175049,0.51851394,-0.853871964,-1.366531544,-0.155593843,-1.550908627
*CC(*)Cl,0.479260531,0.470395718,-0.811017279,-1.48148606,-0.191840036,-1.591446891
*CC(*)Cl,0.219762078,0.024820278,-1.096910013,-1.855930738,-0.552841969,-1.930776812
*CC(*)Cl,0.348917087,0.043235619,-1.301029996,-2.151356935,-0.920818754,-2.080836372
*CC(*)Cl,0.451786436,0.380211242,-0.833995181,-1.397940009,-0.37675071,-1.600947492
*CC(*)Cl,1.151144207,1.567511606,1.079181246,0.602059991,2,1.037412469
*CC(*)Cl,0.62324929,0.715777244,-0.508638306,-0.958607315,0.176091259,-1.014762252
*CC(*)Cl,0.100370545,-0.163263582,-1.456915786,-2.183995396,-0.804100348,-2.054406981
*CC(*)Cl,0.07624158,0.207141616,-0.92190585,-1.399027104,-0.001087096,-1.488996229
*CC(*)Cl,0.167981845,0.01564546,-1.324511092,-2.197007703,-0.7000571,-2.092618287
*CC(*)(F)F,0.235528447,-0.269217724,-1.083019953,-1.651695137,-0.313286979,-1.698970004
*CC(*)(F)F,0.281033367,0.217080655,-0.876148359,-1.500925013,-0.222935845,-1.605548319
*CC(*)(F)F,0.227886705,0.063110182,-1.065501549,-1.886056648,-0.532079772,-1.943095149
*CC(*)(F)F,0.222716471,0.022059999,-1.075887339,-1.856588558,-0.552647015,-1.928117993
*CC(*)(F)F,0.235528447,0.035005799,-1.029156714,-1.844641739,-0.55217856,-1.899629455
*CC(*)(F)F,0.1430148,-0.016894593,-1.069684098,-1.75733882,-0.624251179,-1.818156412
*CC(*)(F)F,0.158362492,-0.082178267,-0.984296973,-1.68384909,-0.340454562,-1.73754891
*CC(*)(F)F,0.100370545,-0.166901111,-1.457064977,-2.184023658,-0.798226972,-2.055517328
*CC(*)(F)F,0.477121255,0.533724519,-0.585026652,-1.301029996,0.041392685,-1.443697499
*CC(*)(F)F,0.027440279,-0.223851306,-1.625541087,-2.189207317,-1.102545839,-2.034142331
*CC(*)(Cl)Cl,0.678644622,0.676088752,-0.27572413,-1.026872146,0.462397998,-1.206893432
*CC(*)(Cl)Cl,0.812905577,1.314831804,-0.007446482,-0.823908741,0.546724246,-0.970839445
*CC(*)(Cl)Cl,-2.314476186,-0.9150878,-3.795880017,-4.301029996,-2.214670165,-1.867696671
*CC(*)(Cl)Cl,-0.928620095,-1.313234493,-2.105296347,-2.956658261,-1.941649908,-1.966154816
*CC(*)(Cl)Cl,-0.84166466,-0.772426373,-2.274088368,-3.02489001,-1.533725678,-1.966154816
*CC(*)(Cl)Cl,-1.241826826,-1.71524229,-2.519085756,-3.162415366,-2.13462603,-1.896144811
*CC(*)(Cl)Cl,-2.284940524,-1.146366385,-3.327902142,-3.995354318,-2.627569551,-1.867696671
*C(*)(F)F,1.078576432,0.983590207,0.23205587,-0.377540732,0.768449488,-0.125639964
*C(*)(F)F,1.195899652,1.130779429,-0.051062591,-0.844616029,0.673020907,-0.817801868
*C(*)(F)F,1.212830437,1.301029996,0.602394321,-0.055517328,1.228692053,-0.089610147
*C(*)(F)F,0.382073872,0.991226076,0.62324929,0.146128036,1.068185862,0.52546963
*C(*)(F)F,1.077611333,0.983590207,0.231728159,-0.377460373,0.769432469,-0.126412043
*C(*)(F)F,1.699524518,1.846674585,1.191135156,0.55787083,1.952557521,0.710117365
*C(*)(F)F,0.003893448,-0.173925197,-1.537602002,-2.17554814,-1.266053281,-2.032395294
*C(*)(F)F,-0.392006942,-0.496528579,-1.907031338,-2.676412931,-1.457938807,-2.009937373
*C(*)(F)F,-0.392006942,-0.496528579,-1.907031338,-2.676412931,-1.457938807,-2.009937373
*C(*)(F)F,-1.293911008,-2.096034531,-2.730020323,-3.200135275,-2.318759631,-1.896144811
*C(*)(F)F,-2.777988139,-1.146366385,-3.704722333,-4.407930068,-2.920819623,-1.867696671
